151, Tanzania (United Republic of),0.273,,0.566,,0.649,,0.67,,0.799,,0.807,,0.812,,0.811,,0.814,,0.814
152, Nigeria,,,0.715,,0.714,,0.755,,0.803,,0.82,,0.821,,0.822,,0.82,,0.823
153, Cameroon,0.339,,0.724,,0.795,,0.844,,0.863,,0.862,,0.864,,0.892,,0.886,,0.886
154, Papua New Guinea,0.207,,,,0.336,,0.394,,0.431,,0.434,,0.438,,0.441,,0.445,,0.445
154, Zimbabwe,0.423,,0.636,,0.652,,0.654,,0.676,,0.679,,0.686,,0.699,,0.705,,0.705
156, Solomon Islands,,,,,,,,,0.297,,0.297,,0.297,,0.297,,0.297,,0.297
157, Mauritania,0.179,,0.689,,0.716,,0.74,,0.784,,0.795,,0.804,,0.812,,0.818,,0.818
158, Madagascar,,,0.633,,0.679,,0.71,,0.739,,0.743,,0.744,,0.751,,0.752,,0.752
159, Rwanda,0.218,,0.198,,0.238,,0.269,,0.299,,0.296,,0.305,,0.314,,0.318,,0.318
160, Comoros,,,,,,,0.574,,0.602,,0.608,,0.63,,0.63,,0.63,,0.63
160, Lesotho,0.415,,0.447,,0.458,,0.481,,0.517,,0.532,,0.544,,0.545,,0.545,,0.545
162, Senegal,0.198,,0.807,,0.823,,0.836,,0.841,,0.84,,0.843,,0.847,,0.852,,0.855
163, Haiti,0.288,,0.727,,0.803,,0.823,,0.88,,0.883,,0.885,,0.889,,0.892,,0.891
163, Uganda,0.25,,0.419,,0.433,,0.511,,0.542,,0.555,,0.57,,0.457,,0.436,,0.417
165, Sudan,0.159,,0.639,,0.624,,0.649,,0.656,,0.655,,0.656,,0.658,,0.658,,0.658
166, Togo,0.31,,0.287,,0.314,,0.37,,0.42,,0.419,,0.43,,0.416,,0.42,,0.441
167, Benin,0.201,,0.433,,0.517,,0.568,,0.613,,0.631,,0.635,,0.641,,0.641,,0.641
168, Yemen,0.219,,,,,,0.608,,0.662,,0.667,,0.673,,0.673,,0.673,,0.673
169, Afghanistan,0.122,,,,0.364,,0.414,,0.494,,0.494,,0.494,,0.494,,0.494,,0.494
170, Malawi,0.231,,0.348,,0.395,,0.424,,0.464,,0.478,,0.48,,0.481,,0.489,,0.489
171, Côte d'Ivoire,0.233,,0.685,,0.671,,0.712,,0.757,,0.768,,0.767,,0.766,,0.766,,0.766
172, Djibouti,,,0.597,,0.634,,0.676,,0.709,,0.711,,0.714,,0.716,,0.717,,0.717
173, Gambia,0.183,,0.459,,0.526,,0.586,,0.622,,0.635,,0.638,,0.64,,0.641,,0.643
174, Ethiopia,,,0.427,,0.493,,0.531,,0.622,,0.645,,0.652,,0.659,,0.666,,0.668
175, Mali,0.081,,,,,,,,0.624,,0.626,,0.627,,0.628,,0.629,,0.629
176, Congo (Democratic Republic of the),0.263,,0.268,,0.43,,0.442,,0.477,,0.459,,0.454,,0.458,,0.462,,0.467
177, Liberia,,,0.672,,0.722,,0.78,,0.793,,0.794,,0.799,,0.8,,0.803,,0.803
178, Guinea-Bissau,,,0.548,,0.609,,0.654,,0.673,,0.675,,0.677,,0.679,,0.681,,0.687
179, Eritrea,,,0.793,,0.836,,0.867,,0.891,,0.875,,0.876,,0.889,,0.896,,0.896
179, Sierra Leone,0.19,,0.865,,0.854,,0.87,,0.892,,0.898,,0.898,,0.899,,0.9,,0.9
181, Mozambique,0.131,,0.609,,0.661,,0.688,,0.708,,0.71,,0.713,,0.714,,0.717,,0.717
181, South Sudan,,,,,0.601,,0.654,,0.699,,0.708,,0.717,,0.729,,0.738,,0.74
183, Guinea,0.121,,,,,,0.512,,0.523,,0.524,,0.525,,0.526,,0.526,,0.526
184, Burundi,0.171,,0.48,,0.503,,0.591,,0.679,,0.706,,0.708,,0.709,,0.71,,0.71
185, Burkina Faso,,,0.413,,0.474,,0.528,,0.583,,0.592,,0.601,,0.61,,0.612,,0.617
186, Chad,,,0.233,,0.258,,0.303,,0.326,,0.343,,0.35,,0.35,,0.35,,0.35
187, Niger,0.082,,0.442,,0.468,,0.514,,0.555,,0.563,,0.572,,0.575,,0.577,,0.577
188, Central African Republic,0.214,,0.456,,0.488,,0.488,,0.523,,0.514,,0.547,,0.544,,0.544,,0.544
